\u041c\u0435\u0434\u0438\u0446\u0438\u043d\u0441\u043a\u0438\u0435
;\u041e\u0431\u044a\u0435\u043c \u043f\u043b\u0430\u0442\u043d\u043e\u0439 \u0443\u0441\u043b\u0443\u0433\u0438;\u0412\u0430\u043b\u043e\u0432\u044b\u0439 \u0440\u0435\u0433\u0438\u043e\u043d\u0430\u043b\u044c\u043d\u044b\u0439 \u043f\u0440\u043e\u0434\u0443\u043a\u0442(\u0412\u0420\u041f);\u0418\u043d\u0434\u0435\u043a\u0441 \u043f\u043e\u0442\u0440\u0435\u0431\u0438\u0442\u0435\u043b\u044c\u0441\u043a\u0438\u0445 \u0446\u0435\u043d;\u0421\u0440\u0435\u0434\u043d\u0438\u0439 \u0434\u043e\u0445\u043e\u0434 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0421\u0440\u0435\u0434\u043d\u0438\u0439 \u0432\u043e\u0437\u0440\u0430\u0441\u0442 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0420\u0430\u0441\u0447\u0435\u0442 \u043d\u0430 \u0434\u0443\u0448\u0443 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0438\u043d\u0434\u0435\u043a\u0441 \u0444\u0438\u0437\u0438\u0447\u0435\u0441\u043a\u043e\u0433\u043e \u043e\u0431\u044a\u0435\u043c\u0430 \u0432 % \u0441\u043e\u043e\u0442\u043d\u043e\u0448\u0435\u043d\u0438\u0438 \u043a \u043f\u0440\u0435\u0434\u044b\u0434\u0443\u0449\u0435\u043c\u0443 \u0433\u043e\u0434\u0443.
 \u0422\u0443\u043b\u044c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5131359;676\240822\240642,3;102,41;28438,25;43,5966666666667;4130,29;84,2
 \u042f\u0440\u043e\u0441\u043b\u0430\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3905750,2;609\240150\240781,1;104,51;28596,75;42,4366666666667;5416,5;91,7
 \u0413\u043e\u0440\u043e\u0434 \u041c\u043e\u0441\u043a\u0432\u0430 ;216653837,59;19\240797\240064\240282,5;103,67;76080;41,3966666666667;22236,8;93,2
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041a\u0430\u0440\u0435\u043b\u0438\u044f;1897732,1;319\240050\240011,9;103,24;30754,5;41,5133333333333;5762,2;95,9
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041a\u043e\u043c\u0438;3122863;718\240138\240683,6;103,66;35220;41,9366666666667;5005,59;78,09
\u041d\u0435\u043d\u0435\u0446\u043a\u0438\u0439 \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u044b\u0439 \u043e\u043a\u0440\u0443\u0433 (\u0410\u0440\u0445\u0430\u043d\u0433\u0435\u043b\u044c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c);52280,6;889\240974\240376,5;103,72;35606;39,52;2528,19;92,3
\u0410\u0440\u0445\u0430\u043d\u0433\u0435\u043b\u044c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c (\u043a\u0440\u043e\u043c\u0435 \u041d\u0435\u043d\u0435\u0446\u043a\u043e\u0433\u043e \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u043e\u0433\u043e \u043e\u043a\u0440\u0443\u0433\u0430);4083934,7;330\240999\240011,7;104,39;81301,25;41,5433333333333;5278,2;95,3
 \u0412\u043e\u043b\u043e\u0433\u043e\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5070851,9;558\240975\240364,8;103,62;33785,75;36,2333333333333;5395,79;92,7
 \u041a\u0430\u043b\u0438\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;4299988,5;632\240759\240493,5;103,24;28329,75;41,78;6743,1;76,59
 \u041b\u0435\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5561789,4;520\240951\240191,3;103,42;29247,5;41,1233333333333;3493,2;93,4
\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2963682;1\240223\240679\240613,9;103,31;32615,75;40;4606,6;88,4
 \u041d\u043e\u0432\u0433\u043e\u0440\u043e\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;4280100,9;616\240504\240098,3;103,92;44064,75;41,78;7490,79;77,8
 \u041f\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;1761671,1;273\240807\240999,5;103,01;26110,75;37,89;3327,39;82
 \u0413\u043e\u0440\u043e\u0434 \u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433 \u0433\u043e\u0440\u043e\u0434 \u0444\u0435\u0434\u0435\u0440\u0430\u043b\u044c\u043d\u043e\u0433\u043e \u0437\u043d\u0430\u0447\u0435\u043d\u0438\u044f;52626082,2;196\240625\240301,2;103,05;25453,25;42,82;13072,8;76
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0410\u0434\u044b\u0433\u0435\u044f (\u0410\u0434\u044b\u0433\u0435\u044f);721622,2;5\240186\240129\240328,4;103,26;47534;43,14;2164,5;104,9
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041a\u0430\u043b\u043c\u044b\u043a\u0438\u044f;192754,1;131\240125\240774,9;102,5;29406,25;41,64;1363,1;73,4
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041a\u0440\u044b\u043c;3210004,4;88\240986\240895,5;103,95;18456,25;40,8366666666667;5695,29;76,9
 \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;55738823,09;475\240525\240339,9;103,09;22370,25;39,64;12884,8;87,2
\u0410\u0441\u0442\u0440\u0430\u0445\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3534034,9;2\240577\240131\240143,3;103,11;36692,5;38,1566666666667;4132;80,9
\u0412\u043e\u043b\u0433\u043e\u0433\u0440\u0430\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;11715394,49;601\240811\240216,1;103,07;24869,25;41,3633333333333;5462,9;99,9
 \u0420\u043e\u0441\u0442\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;20641194,89;963\240214\240357,3;103,15;24080,5;40,48;6105,29;85,9
 \u0413\u043e\u0440\u043e\u0434 \u0444\u0435\u0434\u0435\u0440\u0430\u043b\u044c\u043d\u043e\u0433\u043e \u0437\u043d\u0430\u0447\u0435\u043d\u0438\u044f \u0421\u0435\u0432\u0430\u0441\u0442\u043e\u043f\u043e\u043b\u044c;1780393,8;1\240636\240017\240488,9;103,3;30849,25;39,0533333333333;6579,2;99,8
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0414\u0430\u0433\u0435\u0441\u0442\u0430\u043d;10082262,19;137\240919\240357,6;103,28;30463,75;41,55;3194,4;99,2
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0418\u043d\u0433\u0443\u0448\u0435\u0442\u0438\u044f;174474,2;713\240723\240622,5;104,25;27519,5;41,3433333333333;360,7;78,5
\u041a\u0430\u0431\u0430\u0440\u0434\u0438\u043d\u043e-\u0411\u0430\u043b\u043a\u0430\u0440\u0441\u043a\u0430\u044f \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430;1617319,6;73\240791\240541,6;103,38;16775,75;41,12;2914,9;102,7
 \u041a\u0430\u0440\u0430\u0447\u0430\u0435\u0432\u043e-\u0427\u0435\u0440\u043a\u0435\u0441\u0441\u043a\u0430\u044f \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430;1465170;171\240544\240721,2;104,32;21501;35,3366666666667;3351,39;100
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0421\u0435\u0432\u0435\u0440\u043d\u0430\u044f \u041e\u0441\u0435\u0442\u0438\u044f-\u0410\u043b\u0430\u043d\u0438\u044f;1190856,2;91\240430\240025,1;103,37;18976,25;33,3933333333333;1904,79;88,7
\u0427\u0435\u0447\u0435\u043d\u0441\u043a\u0430\u044f \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430;5340905,7;173\240459\240410,1;102,41;24479,75;31,9333333333333;3697,9;102
 \u0421\u0442\u0430\u0432\u0440\u043e\u043f\u043e\u043b\u044c\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;14969176,4;241\240643\240396,7;103,3;24333,75;37,2466666666667;5274,5;113,8
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0411\u0430\u0448\u043a\u043e\u0440\u0442\u043e\u0441\u0442\u0430\u043d;32047852,69;829\240223\240900,3;103,61;24429;38,6133333333333;8851,4;99
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041c\u0430\u0440\u0438\u0439 \u042d\u043b;1383702,8;1\240803\240321\240697,6;103,51;30554,25;38,4366666666667;2464;82,2
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041c\u043e\u0440\u0434\u043e\u0432\u0438\u044f;1518069,2;203\240282\240130,7;103,45;20862,75;28,87;2690,2;102,5
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0422\u0430\u0442\u0430\u0440\u0441\u0442\u0430\u043d (\u0422\u0430\u0442\u0430\u0440\u0441\u0442\u0430\u043d);18807244,19;262\240760\240569,9;102,36;19681,75;39,62;6037,7;91,1
 \u0423\u0434\u043c\u0443\u0440\u0442\u0441\u043a\u0430\u044f \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430;5367840,5;2\240808\240753\240275,1;103,15;35752,25;40,8866666666667;6390;84,3
 \u0427\u0443\u0432\u0430\u0448\u0441\u043a\u0430\u044f \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 - \u0427\u0443\u0432\u0430\u0448\u0438\u044f;3465972,4;722\240845\240998,6;102,75;25012,75;39,4;3895,6;84,6
 \u041a\u0438\u0440\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5282142,4;339\240490\240413,5;102,64;20115,75;39,9666666666667;4701,4;117,5
 \u041d\u0438\u0436\u0435\u0433\u043e\u0440\u043e\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;19092197,2;1\240496\240401\240415;103,48;30550,5;42,9433333333333;7300,9;108
\u041e\u0440\u0435\u043d\u0431\u0443\u0440\u0433\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5202183,5;370\240472\240632,8;102,88;23593,5;40,2733333333333;3172,1;84,8
 \u041f\u0435\u043d\u0437\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;4212046,2;1\240617\240171\240682,6;103,35;33812,75;39,5366666666667;4923,89;100,2
\u0421\u0430\u043c\u0430\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;13628703,6;1\240106\240329\240322,9;103,02;24458,75;40,6733333333333;4620;98,6
\u0421\u0430\u0440\u0430\u0442\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;6780411,1;448\240521\240114;102,91;22880,5;39,4666666666667;3446,9;110
 \u0423\u043b\u044c\u044f\u043d\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3892033,6;1\240689\240575\240399,2;103,42;29405,5;42,8666666666667;4585,89;86,2
 \u041a\u0443\u0440\u0433\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;1911936,5;809\240822\240627,1;102,9;22671,75;42,1733333333333;2814,1;86,1
\u0421\u0432\u0435\u0440\u0434\u043b\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;30398910,8;424\240995\240591;103,38;23627,5;39,8033333333333;8233,2;97,9
\u0422\u044e\u043c\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;21898079,49;236\240825\240785;103,79;21208;43,1766666666667;6212,1;84,8
 \u0425\u0430\u043d\u0442\u044b-\u041c\u0430\u043d\u0441\u0438\u0439\u0441\u043a\u0438\u0439 \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u044b\u0439 \u043e\u043a\u0440\u0443\u0433 - \u042e\u0433\u0440\u0430 (\u0422\u044e\u043c\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c);8106796,29;2\240535\240215\240024,4;104,08;39072,75;41,4466666666667;5213,7;77,2
\u042f\u043c\u0430\u043b\u043e-\u041d\u0435\u043d\u0435\u0446\u043a\u0438\u0439 \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u044b\u0439 \u043e\u043a\u0440\u0443\u0433 (\u0422\u044e\u043c\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c);3799521,6;8\240952\240460\240437;102,55;49146,5;41,9433333333333;5888,99;86,3
\u0422\u044e\u043c\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c (\u043a\u0440\u043e\u043c\u0435 \u0425\u0430\u043d\u0442\u044b-\u041c\u0430\u043d\u0441\u0438\u0439\u0441\u043a\u043e\u0433\u043e \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u043e\u0433\u043e \u043e\u043a\u0440\u0443\u0433\u0430-\u042e\u0433\u0440\u044b \u0438 \u042f\u043c\u0430\u043b\u043e-\u041d\u0435\u043d\u0435\u0446\u043a\u043e\u0433\u043e \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u043e\u0433\u043e \u043e\u043a\u0440\u0443\u0433\u0430);9991761,6;4\240558\240879\240763,6;102,26;53667,5;42,9066666666667;7420,49;92,2
 \u0427\u0435\u043b\u044f\u0431\u0438\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;16262397,49;3\240158\240827\240619,5;101,08;84503,5;39,1966666666667;5394,79;101,3
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0410\u043b\u0442\u0430\u0439;448896,3;1\240234\240753\240053,9;103,53;31587,25;41,7033333333333;3143,6;104,3
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0422\u044b\u0432\u0430;417894,5;1\240547\240518\240039,7;103,2;25398;40,2766666666667;1800,1;102,6
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0425\u0430\u043a\u0430\u0441\u0438\u044f;754972,4;57\240063\240978,8;101,74;20317,25;36,52;3014;88,5
 \u0410\u043b\u0442\u0430\u0439\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;5854021;79\240321\240311,4;103,41;16694;35,7133333333333;2801,6;80,2
\u041a\u0440\u0430\u0441\u043d\u043e\u044f\u0440\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;9225209,3;256\240322\240293,9;103,92;22650,25;33,5566666666667;5025,49;85,7
\u0418\u0440\u043a\u0443\u0442\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;6955146,9;628\240146\240106,3;103,57;23912,25;37,7566666666667;4150,8;69,7
\u041a\u0435\u043c\u0435\u0440\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c - \u041a\u0443\u0437\u0431\u0430\u0441\u0441;10298477,59;2\240696\240158\240902,9;104,08;31711,75;40,0233333333333;5163;100,4
\u041d\u043e\u0432\u043e\u0441\u0438\u0431\u0438\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;18175766,39;1\240540\240237\240816,6;104,47;26318,5;39,1933333333333;8671,7;86,1
\u041e\u043c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;9430106,8;1\240110\240194\240803,6;104,39;24813,5;34,5066666666667;6426,7;99,7
 \u0422\u043e\u043c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;6895965,8;1\240332\240895\240765,9;103,51;30592,25;29,86;5505,3;118,5
\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0411\u0443\u0440\u044f\u0442\u0438\u044f;3369835,5;772\240095\240892,9;103,86;26848,25;38,3233333333333;3479,1;143,9
 \u0417\u0430\u0431\u0430\u0439\u043a\u0430\u043b\u044c\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;3361461,5;617\240903\240638,3;104,29;28404,75;40,81;4598,99;88,1
 \u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0421\u0430\u0445\u0430 (\u042f\u043a\u0443\u0442\u0438\u044f);2924068,6;285\240490\240577,1;104,6;25336,75;39,0266666666667;5003,89;78,8
\u041a\u0430\u043c\u0447\u0430\u0442\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;1334364,7;369\240476\240546,2;104,09;25676,25;37,62;4791,4;102
\u041f\u0440\u0438\u043c\u043e\u0440\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;14447183,2;1\240227\240680\240260;104,32;45645;40,2033333333333;11115,6;100,8
 \u0425\u0430\u0431\u0430\u0440\u043e\u0432\u0441\u043a\u0438\u0439 \u043a\u0440\u0430\u0439;8327837,4;279\240337\240843,3;102,81;52531,5;39,9;7546;90,1
 \u0410\u043c\u0443\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2464374,6;1\240069\240330\240650;103,13;36818;39,7133333333333;3810;93,3
 \u041c\u0430\u0433\u0430\u0434\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;1401782;805\240215\240557,6;104,26;41368,75;38,9733333333333;9563,59;134,1
\u0421\u0430\u0445\u0430\u043b\u0438\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3887146,4;395\240617\240226;104,87;33237,75;37,8366666666667;10305,6;90,4
 \u0415\u0432\u0440\u0435\u0439\u0441\u043a\u0430\u044f \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;558181,1;214\240414\240925,9;102,61;65116;36,0766666666667;4911,6;88,7
\u0427\u0443\u043a\u043e\u0442\u0441\u043a\u0438\u0439 \u0430\u0432\u0442\u043e\u043d\u043e\u043c\u043d\u044b\u0439 \u043e\u043a\u0440\u0443\u0433;239812,5;1\240172\240226\240053,8;103,42;58932,5;34,8166666666667;4027;80,7
